Snake Plant,Dracaena trifasciata,25/03/22,Indirect light and let dry out between waterings. Water every 3 months. Use any soil. Do not get leaves wet when watering.
Marble Pothos,Epipremnum aureum,09/06/22,Indirect light or shade. Water weekly and feed monthly. Drought tolerant so don't overwater.
Monstera,Monstera Deliciosa,early 2023,Partial light with well drained soil. Water every one or two weeks. High humidity.
